topicTitle,chapterTitle
"ข้อมูล ฐานข้อมูล และระบบจัดการฐานข้อมูล (Data, Database, and Database Management System)","1. Introduction to Database System"
"แนวคิดฐานข้อมูล (Database Approach)","1. Introduction to Database System"
"สภาพแวดล้อมของระบบฐานข้อมูล (Database System Environment)","1. Introduction to Database System"
"ฟังก์ชันของระบบจัดการฐานข้อมูล (DBMS Functions)","1. Introduction to Database System"
"วิวัฒนาการของระบบฐานข้อมูล (Evolution of Database Systems)","1. Introduction to Database System"
"ข้อดีของระบบจัดการฐานข้อมูล (Advantages of the DBMS)","1. Introduction to Database System"
"แบบจำลองข้อมูล (Data Models)","2. Database System Concepts and Architecture"
"คำอธิบายโครงสร้างฐานข้อมูล และข้อมูลในฐานข้อมูล (Schemas & Instances)","2. Database System Concepts and Architecture"
"สถาปัตยกรรมของระบบฐานข้อมูล (Database System Architecture)","2. Database System Concepts and Architecture"
"ภาษาสำหรับฐานข้อมูล (Database Languages)","2. Database System Concepts and Architecture"
"องค์ประกอบของระบบจัดการฐานข้อมูล (DBMS Component Modules)","2. Database System Concepts and Architecture"
"สถาปัตยกรรมสำหรับระบบจัดการฐานข้อมูล (Architectures for DBMSs)","2. Database System Concepts and Architecture"
ความสำคัญของการออกแบบฐานข้อมูล,"3. Database Design using ER Model"
เป้าหมายการออกแบบฐานข้อมูล,"3. Database Design using ER Model"
"กระบวนการออกแบบฐานข้อมูล (Database Design Processes)","3. Database Design using ER Model"
"การจำลองข้อมูลโดยใช้ Entity Relationship (ER) Model","3. Database Design using ER Model"
"บทเกริ่นนำ (Introduction)","4. Database Design using EER Model"
"Superclass/Subclass และ Inheritance","4. Database Design using EER Model"
Specialization/Generalization,"4. Database Design using EER Model"
"Constraints on Specialization and Generalization","4. Database Design using EER Model"
"Specialization Hierarchy","4. Database Design using EER Model"
"แนวทางของกระบวนการออกแบบสำหรับ EER","4. Database Design using EER Model"
"แนวคิดแบบจำลองเชิงสัมพันธ์ (Relational Model Concepts)","5. Relational Data Model"
"เงื่อนไขบังคับของแบบจำลองเชิงสัมพันธ์ (Relational Model Constraints)","5. Relational Data Model"
"Schema-based constraints","5. Relational Data Model"
"Operation and Transaction Concepts","5. Relational Data Model"
"ตัวดำเนินการสำหรับแบบจำลองเชิงสัมพันธ์ (Operations for the Relational Model)","5. Relational Data Model"
"Relational Algebra","5. Relational Data Model"
"Relational Calculus","5. Relational Data Model"
"การแปลงแบบจำลองอี-อาร์ ไปสู่แบบจำลองเชิงสัมพันธ์","6. Logical Design: Data Model Mapping"
การแปลงแบบจำลองอีอี-อาร์ไปสู่แบบจำลองเชิงสัมพันธ์,"6. Logical Design: Data Model Mapping"
"ประเภทของข้อมูล (Data Types)","6. Logical Design: Data Model Mapping"
"สรุปการเลือกใช้ประเภทข้อมูลใน 5 นาที","6. Logical Design: Data Model Mapping"
"Logical design Multivalued1","6. Logical Design: Data Model Mapping"
"Logical design Multivalued2","6. Logical Design: Data Model Mapping"
"Logical design N-ary","6. Logical Design: Data Model Mapping"
"Logical Design Technique","6. Logical Design: Data Model Mapping"
"Logical design Superclass Subclass Overlap","6. Logical Design: Data Model Mapping"
"Logical design Superclass Subclass Total Participation","6. Logical Design: Data Model Mapping"
"Logical design Total Participation and Not Null Constraint","6. Logical Design: Data Model Mapping"
